Norm365BOELat,BblsFt,Avg_PPG,Adj_WC_365,TVD,BTU_Gas,Neutron_Por,AvgRt*NetPay
12.21418477,17.62,1.779824328,0.362293989,6910,1388,0.2306,725.3668
7.561361154,12.27,1.299702017,0.21516619,6367,1403,0.1788,539.0143
3.545395723,7.99,2.256755045,0.644182634,6722,1375,0.2365,488.4735
5.244531542,14.82,1.319333361,0.435675676,7031,1378,0.2349,898.9981
20.07117528,16.9,1.971052007,0.166942288,6517,1499,0.1913,407.0736
1.019825418,10.95,1.405477761,0.665459423,7027,1374,0.2388,1097.5824
2.074893843,9.34,1.049722864,0.807745505,6427,,0.1651,1065.5787
5.174850075,13.95,1.302554451,0.444572837,6663,1703,0.1906,359.6802
,8.88,1.648901099,,6555,,0.1865,269.7957
4.642191807,14.46,1.266078156,0.695169059,6069,1673,0.1753,499.2186
17.80650802,21.69,1.217881046,0.194463829,6200,1391,0.1833,833.7386
,8.23,1.442459745,,6582,,0.1903,194.8629
15.77254406,20.65,1.335356753,0.223531229,6495,1481,0.1827,441.7737
18.14318627,2.78,1.9234125,0.134971458,6337,1600,0.1863,576.9011
3.551627863,12.68,1.796119839,0.600704588,6650,1337,0.2362,440.7263
8.988176373,16.31,1.427848193,0.469983798,6505,1600,0.1647,536.0365
30.67289459,13.8,1.613627541,0.07620011,5759,,0.1868,696.7147
11.72045855,20.82,1.208854039,0.382676507,6244,,0.1879,509.4741
46.16909356,29.99,0.681993533,0.098409133,5820,1346,0.185,714.984
22.11711322,15.61,1.498540624,0.11891324,6134,1342,0.1853,1016.2748
12.47613159,10.69,1.420087274,0.267186786,6171,1420,0.1815,743.5761
17.50718004,16.47,1.18705547,0.244430662,6004,,0.1819,769.9942
34.43872483,14.09,1.372763579,0.056793327,5909,1345,0.1933,741.1107
21.61978894,37.23,0.632788704,0.293261329,5929,1340,0.1872,883.1744
7.542400112,17.96,1.231047817,0.669911789,5754,,0.2146,79.0855
28.73901074,17.21,1.386582173,0.272301327,6007,,0.1946,951.2304
23.93135411,14.96,1.472557203,0.090582825,6086,1345,0.1849,942.4727
30.945161,14.7,1.548092512,0.05541521,6006,1280,0.1867,977.7225
28.80881699,19.95,1.237895372,0.0679821,6181,1346,0.1834,903.3423
16.66698406,14.75,1.255444029,0.141070722,6247,,0.1833,946.249
26.73876684,16.41,1.287303529,0.068129399,5974,1346,0.1892,1002.176
27.06897332,21.47,1.379863152,0.12950712,5655,1522,0.1868,696.7147
10.23406897,16.86,1.163495606,0.570839589,5953,1223,0.1818,563.7713
23.62071312,17.22,1.207816328,0.069099803,6029,1346,0.1857,779.6837
12.8557907,14.58,1.49037375,0.281114067,6276,1345,0.183,912.2546
5.666278454,7.13,0.916118098,0.18868904,5522,1377,0.2037,559.6303
12.30533854,17.23,1.296727377,0.26652773,6520,1465,0.1736,479.5681
23.54636135,16.2,1.514465281,0.124188764,5848,1340,0.2138,611.1945
34.59492854,13.42,1.567537558,0.067350139,5620,1507,0.2007,625.3122
27.23039541,14.85,1.457261238,0.257075914,5788,1509,0.2105,537.9692
19.96392057,12.86,1.37192733,0.12108722,5896,1264,0.2005,781.1499
19.19549889,15.13,1.366465971,0.220013458,6069,1367,0.1802,580.5918
7.796059203,13.3,1.434142884,0.490230906,6267,,0.1832,792.2302
8.967249104,14.56,1.511917288,0.368984772,6327,1287,0.169,557.5133
3.770696702,10.98,1.45464299,0.722925981,6381,1434,0.1689,1007.5621
26.0069241,15.72,1.381237692,0.084508762,6091,1249,0.1842,744.3579
9.788816231,10.74,1.709999353,0.244465942,6461,1401,0.192,409.2421
18.21691454,13.11,1.465255138,0.214132355,6373,1512,0.1742,549.4485
3.06010101,7.06,1.386521751,0.431930586,6274,,0.169,557.5133
6.892782823,12,1.456450388,0.320330664,6540,1358,0.1898,518.0852
12.70038119,12.09,1.346095082,0.048587421,6186,1428,0.1832,864.4888
16.33245746,12.04,1.490596596,0.168063664,5815,1523,0.2045,600.45
6.902579075,13.07,1.485431977,0.249179392,6272,1219,0.1767,529.6018
13.33673759,16.58,1.273666353,0.21897025,6477,1392,0.1767,529.6018
,13.34,1.419436176,,6516,1488,0.1724,797.9781
7.950200944,9.02,1.419436176,0.306438356,6516,1488,0.1724,797.9781
38.21804511,17.79,1.129433867,0.138890703,5766,1223,0.2114,552.5417
6.722628421,13.56,1.32636925,0.236974153,6565,,0.1773,940.3287
15.77707077,14.64,1.432908761,0.199053134,6430,1387,0.1872,422.152
17.33173035,13.58,1.5557544,0.165454125,6014,1312,0.1841,591.1649
10.85112409,14.56,1.446391782,0.337149292,6502,1382,0.1911,403.7618
13.45420489,16.67,1.413060161,0.080630425,6247,1264,0.1876,407.1019
6.091588386,11.81,1.47512434,0.65925639,6382,1496,0.1701,729.7161
8.277273071,10.61,1.317984367,0.227238221,6212,1272,0.1831,653.8485
15.59379968,12.58,1.479944604,0.227870266,5634,1593,0.2166,458.2609
5.054144572,17.56,1.163704906,0.826969017,6177,1381,0.1972,146.2474
17.74842939,15.01,1.530981421,0.241344634,6097,,0.1807,602.5208
16.52053533,17.92,1.116051988,0.122505079,5715,,0.1869,149.7581
18.88132853,11.39,1.499730089,0.20709419,6233,1329,0.1818,672.1273
7.407139352,8.75,1.390704987,0.332067251,5979,,0.1771,650.0645
8.819815418,16.41,1.111637381,0.355737363,6140,1035,0.1757,503.6622
11.98334227,13.71,1.076726609,0.400170789,6277,1418,0.1822,564.1393
,14.44,1.07672711,,6355,1418,0.1822,564.1393
14.78127888,13.47,1.123369537,0.166201913,6215,1390,0.1833,833.7386
9.651001089,12.59,1.465122558,0.2651352,6510,1318,0.1951,377.4463
5.355145886,12.93,0.996689538,0.45165489,6205,1462,0.1753,499.2186
11.17503392,15.15,1.041283521,0.075350185,6357,1251,0.1863,576.9011
8.039077704,11.58,1.478464859,0.18375833,6194,1582,0.1794,532.2587
1.285752732,14.87,0.997987301,0.931954293,5589,1423,0.2202,34.9096
11.56980994,14.4,1.450080963,0.153745605,6233,,0.1892,503.324
9.681798246,12.84,1.108161244,0.501430335,6147,1464,0.1772,652.1237
17.01211956,25.27,1.167142713,0.111840683,6292,1412,0.1822,564.1393
10.388283,27.75,1.096333704,0.574039967,6434,1384,0.1862,448.6098
6.930510949,15.25,1.003241636,0.590489258,6419,1427,0.1862,448.6098
15.67871922,13.5,1.5015942,0.301221727,6010,1523,0.1933,752.2395
10.62819429,16.41,1.45749215,0.423348583,6513,1356,0.1862,468.4173
25.18029231,15.57,1.410470257,0.150531735,5592,,0.183,378.0275
9.648513436,18,1.331179166,0.526789218,6916,,0.2406,946.8689
6.158353233,13.6,1.451444341,0.472258447,6341,,0.1649,560.4171
32.73233129,17.93,1.294484189,0.070112956,5688,1437,0.197,691.1467
38.19030287,18.32,1.268805795,0.088602466,5713,1437,0.197,691.1467
37.48057987,18.87,1.21605387,0.068521207,5676,1437,0.197,691.1467
12.98005073,15.88,0.996258773,0.385339294,6683,1619,0.2051,293.6551
3.875026635,14.8,1.464794816,0.706687147,6172,1466,0.1791,209.6726
9.291509246,13.87,1.461574834,0.398731711,6333,,0.1639,653.7597
10.61968947,15.64,1.007655827,0.300613929,6158,1560,0.1757,503.6622
6.650634155,13.64,1.088509734,0.544504492,6119,1434,0.1772,652.1237
6.627532332,10.47,1.410135655,0.265688776,6280,,0.1742,549.4485
6.814491964,14.86,1.404877154,0.351539039,6282,1299,0.169,557.5133
22.05967239,13.48,1.455148241,0.121238304,6244,1261,0.1818,672.1273
7.272499553,11.84,1.388833678,0.234248959,6222,1251,0.1818,672.1273
7.577919773,19.34,1.337786597,0.626382165,6773,,0.2353,732.4662
8.094336978,14.4,1.003498387,0.542261018,6040,,0.1772,652.1237
5.926828631,14.42,1.004917798,0.587361622,5884,1511,0.1807,166.6087
6.242229503,12.73,1.525701256,0.448847262,6353,1299,0.1648,746.6633
7.040886775,14.31,0.956567862,0.548539602,5880,1561,0.1856,119.5731
5.604748526,23.79,1.148486157,0.712481685,6459,1573,0.1906,359.6802
14.58727282,13.54,1.04619846,0.285401406,5936,,0.1828,123.8192
19.67807211,13.29,1.489772052,0.280958789,5878,,0.2005,781.1499
13.40669878,24.46,1.190688849,0.536598741,6297,1467,0.1831,741.8901
24.35166562,24.07,1.160577859,0.17286239,5696,1495,0.1776,295.3426
10.75056261,22.39,1.217599161,0.644629888,6274,1512,0.1831,741.8901
8.720134389,15.23,0.956036461,0.596506661,5713,1744,0.1758,307.8843
12.3561828,14.61,0.948069749,0.16857623,6268,1236,0.1833,833.7386
4.900553123,15.35,1.375267976,0.680870561,6170,1350,0.1575,542.9674
11.52331563,12.74,1.363839625,0.224173764,6427,1558,0.1777,482.3505
12.14263494,16.06,0.929009348,0.371033675,5803,1560,0.1774,241.5618
25.82436248,11.99,1.307514712,0.095944871,5967,1346,0.1902,815.821
33.63074235,12.11,1.463528307,0.097965397,5804,1288,0.1956,894.3125
24.07098291,12.62,1.413174591,0.078549399,5892,1170,0.1956,894.3125
24.43011482,17.14,1.158145899,0.081932256,5619,1280,0.1911,640.6626
10.40984848,15.8,1.35859716,0.291194914,6410,1345,0.1889,397.0767
5.064895972,15.14,1.479232917,0.567973264,6267,1455,0.1807,679.2006
5.05523716,13.04,1.485225151,0.694191539,6111,1350,0.1763,439.272
15.84732665,12.23,1.46068315,0.235118728,5805,1351,0.2105,537.9692
18.66899534,11.5,1.508520265,0.208123678,5813,1346,0.2105,537.9692
8.628838672,10.52,1.329730188,0.296887313,6285,1278,0.1742,549.4485
12.1627839,12.07,1.487469712,0.189145479,6265,1404,0.1742,549.4485
12.24433078,19.73,0.944640372,0.349522351,6334,,0.169,557.5133
12.4180791,11.26,1.440182097,0.351406336,5704,,0.2166,458.2609
17.72941878,13.18,1.510115994,0.293141891,5652,,0.2166,458.2609
14.07882173,12.91,1.479170231,0.28613388,5714,,0.2166,458.2609
13.80966988,14.02,1.494790628,0.306529736,5980,,0.1933,752.2395
31.44554318,15.24,1.707713822,0.06946276,5989,1345,0.1871,1046.8537
37.23313599,20.51,1.208330756,0.055461281,6367,1726,0.1819,263.6628
5.262103175,12.21,1.33768877,0.405679319,6305,,0.183,728.5472
12.21972534,13.17,1.247086751,0.355185944,5829,,0.1933,154.5701
24.21939254,24.93,1.133731949,0.186281402,5775,1518,0.1759,454.8314
16.80414508,20.47,1.265784984,0.184423394,5650,,0.1819,263.6628
25.10735454,12.89,1.385393727,0.178309309,5815,1562,0.2045,600.45
7.65350284,15.02,1.456833792,0.311026201,6673,1318,0.2031,440.3476
16.13317627,24.24,0.988793832,0.37639924,6250,1575,0.1883,137.7461
11.56429306,14.64,1.641511895,0.20898417,6492,,0.1815,537.5625
9.397442922,18.08,1.435768751,0.260296769,6470,,0.1908,362.7658
6.121587302,16.01,1.46864068,0.61983302,6503,1000,0.2021,263.3864
13.79532565,14.71,1.440293493,0.178616737,6552,1413,0.1827,441.7737
14.22059728,13.92,1.298564986,0.192200452,6495,,0.1827,441.7737
16.75056402,14.1,1.63655574,0.166127024,6865,1414,0.1827,441.7737
15.53083011,15.07,1.578948356,0.161759588,6450,,0.1827,441.7737
10.30572277,16.91,1.181811831,0.257536015,6290,1582,0.1794,532.2587
6.606609605,14.9,1.371796023,0.600965522,6584,1346,0.1785,339.8625
9.956889405,26.05,1.073213725,0.533284924,5700,,0.1758,307.8843
9.148409894,13.57,1.60330815,0.188232985,6344,1389,0.1855,510.0363
10.54535299,15.29,1.499853855,0.181115739,6356,1282,0.1855,510.0363
3.736010341,17.95,1.158030293,0.541328413,6502,,0.1646,1035.1481
10.33046286,13.42,1.374740634,0.275929127,6430,,0.1777,482.3505
10.50840063,14.35,1.369591107,0.454185656,6430,,0.1777,482.3505
9.443074004,23.22,0.917178283,0.394811286,6430,,0.1777,482.3505
11.95654383,13.27,1.455041426,0.182207134,6495,,0.1777,482.3505
30.69679613,13.48,1.436110834,0.069761491,5797,,0.2061,659.103
6.915674603,11.54,1.3498454,0.4798869,5759,,0.2225,313.3599
16.16996933,12.77,1.553602328,0.173410405,6082,,0.1815,556.0476
13.77563755,13.43,1.439128699,0.135669587,6465,,0.1864,643.0145
10.72802634,10.6,1.495460742,0.160261308,6158,,0.1832,828.8403
13.42263484,12.84,1.430960055,0.216405012,5956,1345,0.1834,733.8025
6.451944371,16.53,1.245079192,0.532538177,6310,,0.1637,680.5644
17.82078085,12.41,1.4155507,0.250603397,5688,1279,0.2149,459.2589
15.54108957,12.33,1.494920043,0.339956276,5965,,0.1933,752.2395
35.74738068,13.32,1.434897882,0.088447865,5500,,0.1949,574.489
38.22922724,13.08,1.473848177,0.083126551,5520,,0.1949,574.489
,13.21,1.503935968,,6370,,0.189,392.8196
,12.58,1.551197266,,6137,,0.1844,611.875
,12.56,1.558986722,,6224,,0.1844,611.875
16.38754638,13.49,1.425990978,0.144986201,6465,,0.1864,643.0145
8.06294484,9.19,1.460205424,0.211642197,,,0.1832,828.8403
10.64989699,12.05,1.46093317,0.112510975,6170,,0.1832,828.8403
14.30761598,11.97,1.535189552,0.12784913,6170,1182,0.1832,828.8403
26.64781136,14.02,1.385208073,0.064609035,5879,,0.2005,781.1499
17.70410465,14.88,1.567022511,0.172676998,6202,,0.1818,672.1273
12.88795518,14.63,1.607285305,0.206919003,6227,,0.1818,672.1273
21.29201852,16.43,1.168906866,0.079915745,5588,1264,0.2007,625.3122
19.58287037,15.21,1.267590222,0.094947713,5629,1257,0.2007,625.3122
19.45901342,14.55,1.313780708,0.086145858,5638,1221,0.2007,625.3122
12.5836572,14.41,1.353036166,0.184646969,5717,1128,0.1778,593.3086
11.67822844,13.35,1.374534708,0.216778583,5736,1234,0.1778,593.3086
11.93536009,14.28,1.291134848,0.182686727,5629,1087,0.1778,593.3086
13.35349501,13.7,1.288402969,0.256260662,5849,1132,0.1778,593.3086
21.47654205,15.12,1.324138675,0.165420709,5633,1135,0.1778,593.3086
16.69146553,14.62,1.322426995,0.195313032,5745,1224,0.1778,593.3086
13.32013933,15.33,1.238943869,0.217054885,5695,1155,0.1778,593.3086
15.08843333,11.67,1.300085782,0.163612004,5689,1251,0.1778,593.3086
16.8705135,14.96,1.270669438,0.183270822,5741,1247,0.2007,625.3122
13.14169939,14.53,1.291856627,0.213110749,5632,1125,0.1778,593.3086
17.66475096,14.58,1.016059722,0.223221156,5772,1138,0.1778,593.3086
15.08045493,11.49,1.384168072,0.209960811,5762,1324,0.1778,593.3086
14.65133756,11.31,1.360778228,0.173934442,5689,1180,0.1778,593.3086
13.13049096,14.46,1.276218061,0.199790932,5621,1137,0.1778,593.3086
16.43971311,14.5,1.282330078,0.199907628,5700,1134,0.1778,593.3086
12.59917683,14.36,1.324003694,0.16719002,5653,1109,0.1778,593.3086
16.85624206,14.92,1.280212596,0.105842553,5764,1233,0.2007,625.3122
15.94628773,15.54,1.222957886,0.08988178,5692,1198,0.2007,625.3122
27.6970106,14.45,1.207193232,0.064388857,5768,1265,0.197,691.1467
20.23661172,14.34,1.200011967,0.081777726,5748,1204,0.197,691.1467
22.2353711,15.03,1.227841774,0.091531568,5736,1287,0.197,691.1467
22.10406651,14.06,1.288939349,0.204256944,6003,1135,0.188,807.1772
15.27952696,9.78,1.416549496,0.225928407,5948,,0.1771,631.2269
14.89587649,14.39,1.344201877,0.12223308,5736,1334,0.1868,696.7147
18.94594595,14.55,1.353980509,0.117010546,5748,1381,0.1868,696.7147
12.39102185,14.67,1.286508144,0.137579894,5761,1126,0.1868,696.7147
15.03125621,14.49,1.303828471,0.160749622,5654,1121,0.1868,696.7147
12.330033,14.49,1.265976215,0.173784978,5772,1334,0.1868,696.7147
13.49318642,15.89,1.269939842,0.203974667,5774,1089,0.1868,696.7147
13.72222222,13.65,1.292979039,0.138803135,5700,1125,0.1868,696.7147
16.10048135,14.51,1.27463731,0.158701817,5792,1138,0.1868,696.7147
18.91934524,14.59,1.345081981,0.138935493,5660,1381,0.1868,696.7147
15.26382705,14.14,1.289072603,0.168422011,5762,1185,0.1868,696.7147
15.89032711,14.06,1.215447507,0.183549813,5714,1134,0.1868,696.7147
18.6361855,14.71,1.294796182,0.189425684,5660,1104,0.1868,696.7147
21.8449422,13.95,1.209884397,0.070152391,5676,1225,0.197,691.1467
20.21908565,14.52,1.201701177,0.085353275,5692,1332,0.197,691.1467
24.58278082,14.35,1.371353579,0.065415063,5767,1211,0.197,691.1467
,12.76,1.482189477,,6332,,0.1858,340.4962
20.95754096,13.18,1.538885777,0.064262508,6370,,0.1858,340.4962
13.84661136,25.16,1.130375403,0.508270726,5600,,0.1758,307.8843
10.91717282,24.24,1.119398876,0.514844804,5700,,0.1758,307.8843
15.03191543,24.76,1.042682751,0.389394355,5709,,0.1758,307.8843
9.750286101,24.49,1.070230283,0.54949156,5690,1751,0.1758,307.8843
9.250871715,26.72,1.050157715,0.570205567,5600,1365,0.1758,307.8843
8.713472201,17.82,1.086037214,0.671764384,5793,,0.1773,255.2496
9.66763537,17.24,1.179981068,0.61810012,5878,,0.1773,255.2496
5.62594078,19.25,1.06533843,0.691556787,5793,,0.1773,255.2496
14.25539601,14.73,1.582736299,0.174432827,6217,,0.1818,672.1273
12.32236723,14.7,1.489911077,0.19267741,6229,,0.1818,672.1273
6.06066956,19.52,1.060343166,0.663118139,5892,,0.1773,255.2496
5.818372232,19.19,1.02817649,0.749020165,5808,,0.1773,255.2496
6.16664126,20.1,1.059774305,0.691250521,5892,,0.1773,255.2496
5.046641604,19.48,1.109992542,0.679954283,,,0.1773,255.2496
9.518736936,24.76,1.052140655,0.513594658,5820,,0.1773,255.2496
8.409002542,24.53,1.022499716,0.535893155,5776,,,
7.133036377,24.02,1.020374532,0.638803642,5791,,,
,27.99,0.647998538,,5617,,,
,20.63,1.031924497,,5700,,,
12.27529635,15.47,1.552205075,0.169029492,6433,,,
11.34173091,14.86,1.561408245,0.239501655,6406,,,
12.23474113,15.01,1.57645992,0.166226503,6412,,,
12.10918935,19.58,1.2545381,0.642842787,,,,
12.78680012,15.47,1.004812817,0.529036627,,,,
,20.39,1.278666691,,,,,
10.92399632,20.51,1.208305544,0.487047441,,,,
12.32724836,17.24,1.238588926,0.49444162,,,,
11.00561477,13.86,0.990763426,0.619935951,,,,
10.90051109,16.87,1.259794221,0.566465467,5679,,,
8.955413366,19.54,1.137463842,0.679230333,5878,,,
,15.77,0.994660544,,5675,,,
,19.49,0.862468684,,5675,,,
,18.02,0.936922205,,5587,,,
,20.92,1.009721377,,5587,,,
,16.28,1.206847059,,5589,,,
,15.29,1.169711135,,5670,1417,,
,16.34,1.027336364,,5678,,,
,15.75,1.099144509,,5589,,,
,18.77,1.158333333,,5678,,,
11.70591125,17.26,0.963412628,0.475645014,5713,1751,,
14.54281627,13.68,1.333057139,0.253376969,6363,,,
7.004145159,12.68,1.334374447,0.320846107,6530,,,
5.083176618,13.89,1.352463971,0.368877656,6553,,,
,15.88,1.081201158,,5674,,,
,19.2,1.18037123,,5678,,,
,18.97,1.200569971,,5589,,,
,18.75,1.153008035,,5589,,,
6.112771633,12.78,1.439386086,0.42844032,6530,,,
11.19739269,14.21,1.625537371,0.428545449,5989,,,
15.03743809,14.6,1.561084673,0.446743215,5993,,,
,12.71,1.567831814,,6383,,,
8.852088867,13.29,1.831598853,0.374244,6436,,,
7.764845701,14.01,1.483902981,0.329212411,6434,,,
,17.14,1.232751327,,5574,,,
,15.71,1.215344561,,5574,,,
,18.76,1.172773752,,5574,,,
,19.59,1.210164419,,5661,,,
,19.45,1.031530483,,5661,,,
,16.07,1.170979403,,5661,,,
,18.17,1.163446551,,5912,,,
,19.31,1.093564483,,5912,,,
,18.63,1.012991001,,6004,,,
,17.08,0.95629545,,6013,,,
,12.87,0.84857354,,6013,,,
,16.36,0.96581311,,5912,,,
,19.58,1.060459116,,6013,,,
,18.26,1.036400332,,5912,,,
7.788554016,15.91,1.414285372,0.363975222,6604,,,
11.57977963,14.33,1.59373093,0.437969815,5994,,,
16.78376673,13.25,1.545763089,0.056731084,5915,,,
18.69041539,13.16,1.51562152,0.092201981,5915,,,
9.66405017,14.27,1.51066901,0.396007183,6422,,,
17.594933,13.01,1.513743937,0.097260351,5910,,,
17.76239599,13.24,1.48939657,0.057863857,5930,,,
19.35473345,13.05,1.502524142,0.091355487,5925,,,
20.03007736,13.16,1.483369873,0.089574211,5815,,,
22.78312375,16.32,1.326113903,0.133276199,,1223,,
25.17971269,12.91,1.478440595,0.093961569,6550,,,
,16.29,1.372194706,,6121,1291,,
,15.8,1.368864381,,6043,1291,,
,30.42,0.678112581,,6009,1291,,
,32.97,0.634950532,,6057,1291,,
,16.45,1.357900412,,6050,1291,,
,31.85,0.683647619,,6098,1291,,
17.38602908,12.9,1.515011374,0.101274563,5925,,,
,22.01,1.128852626,,5834,1491,,
,26.65,1.169903337,,5782,,,
,12.45,1.544697962,,6332,,,
,12.39,1.561170425,,6330,,,
,12.08,1.544340701,,6370,,,
,8.74,,,5424,,,
,15.92,0.985521113,,5669,,,
,15.84,1.001482379,,5700,,,
,16.46,1.026323823,,5743,,,
,20.16,1.176639534,,6140,,,
,12.09,1.547700212,,6123,,,
,12.57,1.547024109,,6214,,,
,14.02,1.495381515,,6230,,,
,12.21,1.56350967,,6140,,,
,12.78,1.541452573,,6240,,,
,15.68,1.134900083,,5770,,,
,15.13,1.108966768,,5810,,,
,13.7,1.945633879,,6283,,,
,12.59,1.856938194,,6298,,,
,14.3,1.879484072,,6240,,,
,12.6,1.554880739,,5841,,,
,12.58,1.533540579,,6233,,,
,19.61,1.038620167,,6074,,,
,12.37,1.389155071,,5822,,,
,12.39,1.474695419,,5800,1389,,
,16.6,1.233098323,,5638,,,
,27.93,0.529381742,,5596,,,
,16.91,1.210212839,,5689,,,
,24.91,0.535122463,,5692,,,
,12.85,1.520939445,,6860,,,
,12.96,1.510872981,,6976,,,
